Country,Year,Coffee type,Population,Domestic_Consumption,Import_Consumption,Total_Consumption,Consumption_Per_Capita_kg,Consumption_Per_Capita_g
Angola,1990,Robusta/Arabica,11626360.0,1200000.0,,1200000.0,0.10321373155484606,103.21373155484606
Angola,1991,Robusta/Arabica,12023529.0,1800000.0,,1800000.0,0.14970646305256968,149.7064630525697
Angola,1992,Robusta/Arabica,12423712.0,2100000.0,,2100000.0,0.16903160665669004,169.03160665669003
Angola,1993,Robusta/Arabica,12827135.0,1200000.0,,1200000.0,0.09355167775189081,93.55167775189081
Angola,1994,Robusta/Arabica,13249764.0,1500000.0,,1500000.0,0.11320956358166077,113.20956358166077
Angola,1995,Robusta/Arabica,13699778.0,600000.0,,600000.0,0.04379633013031306,43.79633013031306
Angola,1996,Robusta/Arabica,14170973.0,1200000.0,,1200000.0,0.08468014158237405,84.68014158237405
Angola,1997,Robusta/Arabica,14660413.0,2400000.0,,2400000.0,0.16370616571306687,163.70616571306687
Angola,1998,Robusta/Arabica,15159370.0,1800000.0,,1800000.0,0.11873844361606056,118.73844361606056
Angola,1999,Robusta/Arabica,15667235.0,1200000.0,,1200000.0,0.0765929661487812,76.59296614878119
Angola,2000,Robusta/Arabica,16194869.0,1200000.0,,1200000.0,0.07409754286990528,74.09754286990527
Angola,2001,Robusta/Arabica,16747208.0,1200000.0,,1200000.0,0.07165373475984774,71.65373475984774
Angola,2002,Robusta/Arabica,17327699.0,1200000.0,,1200000.0,0.06925328054232706,69.25328054232706
Angola,2003,Robusta/Arabica,17943712.0,900000.0,,900000.0,0.05015684603052033,50.15684603052033
Angola,2004,Robusta/Arabica,18600423.0,900000.0,,900000.0,0.048385996382985484,48.38599638298548
Angola,2005,Robusta/Arabica,19291161.0,900000.0,,900000.0,0.046653490684153226,46.653490684153226
Angola,2006,Robusta/Arabica,20015279.0,1800000.0,,1800000.0,0.0899312969856678,89.9312969856678
Angola,2007,Robusta/Arabica,20778561.0,1800000.0,,1800000.0,0.08662775059350837,86.62775059350837
Angola,2008,Robusta/Arabica,21578655.0,1800000.0,,1800000.0,0.08341576432822156,83.41576432822157
Angola,2009,Robusta/Arabica,22414773.0,1800000.0,,1800000.0,0.08030418153242061,80.30418153242061
Angola,2010,Robusta/Arabica,23294825.0,1800000.0,,1800000.0,0.07727038086785369,77.27038086785369
Angola,2011,Robusta/Arabica,24218352.0,1800000.0,,1800000.0,0.07432380204895858,74.32380204895858
Angola,2012,Robusta/Arabica,25177394.0,1800000.0,,1800000.0,0.07149270492410771,71.49270492410771
Angola,2013,Robusta/Arabica,26165620.0,1800000.0,,1800000.0,0.06879256061962223,68.79256061962224
Angola,2014,Robusta/Arabica,27160769.0,1800000.0,,1800000.0,0.06627205584643056,66.27205584643056
Angola,2015,Robusta/Arabica,28157798.0,1800000.0,,1800000.0,0.06392545326165064,63.92545326165064
Angola,2016,Robusta/Arabica,29183070.0,1800000.0,,1800000.0,0.061679597108871685,61.67959710887168
Angola,2017,Robusta/Arabica,30234839.0,1800000.0,,1800000.0,0.05953397006678289,59.53397006678289
Angola,2018,Robusta/Arabica,31297155.0,1800000.0,,1800000.0,0.057513214859305904,57.513214859305904
Angola,2019,Robusta/Arabica,32375632.0,1800000.0,,1800000.0,0.05559737026909621,55.59737026909621
Austria,1990,,7677850.0,,80400000.0,80400000.0,10.47168152542704,10471.68152542704
Austria,1991,,7754891.0,,78120000.0,78120000.0,10.073642556678102,10073.642556678102
Austria,1992,,7840709.0,,72720000.0,72720000.0,9.27467146147115,9274.67146147115
Austria,1993,,7905633.0,,80100000.0,80100000.0,10.132015994165172,10132.015994165173
Austria,1994,,7936118.0,,65160000.0,65160000.0,8.210563401401037,8210.563401401037
Austria,1995,,7948278.0,,60720000.0,60720000.0,7.639390569881929,7639.390569881929
Austria,1996,,7959017.0,,64560000.0,64560000.0,8.111554479654963,8111.554479654963
Austria,1997,,7968041.0,,65220000.0,65220000.0,8.185198846240876,8185.198846240876
Austria,1998,,7976789.0,,66300000.0,66300000.0,8.311615112296439,8311.615112296438
Austria,1999,,7992324.0,,67380000.0,67380000.0,8.430589150289704,8430.589150289703
Austria,2000,,8011566.0,,52500000.0,52500000.0,6.553025962714406,6553.025962714406
Austria,2001,,8042293.0,,60780000.0,60780000.0,7.557546087912987,7557.546087912988
Austria,2002,,8081957.0,,55560000.0,55560000.0,6.874572581863526,6874.572581863526
Austria,2003,,8121423.0,,43200000.0,43200000.0,5.319264862820223,5319.264862820223
Austria,2004,,8171966.0,,59760000.0,59760000.0,7.312805755677398,7312.805755677398
Austria,2005,,8227829.0,,46320000.0,46320000.0,5.629674607967667,5629.674607967667
Austria,2006,,8268641.0,,36720000.0,36720000.0,4.440874866861435,4440.874866861435
Austria,2007,,8295487.0,,50820000.0,50820000.0,6.126222607545524,6126.222607545525
Austria,2008,,8321496.0,,54480000.0,54480000.0,6.546899740142878,6546.899740142879
Austria,2009,,8343323.0,,53160000.0,53160000.0,6.371562026305346,6371.562026305346
Austria,2010,,8363404.0,,54180000.0,54180000.0,6.478223460208308,6478.223460208308
Austria,2011,,8391643.0,,67020000.0,67020000.0,7.986517062272549,7986.517062272549
Austria,2012,,8429991.0,,76140000.0,76140000.0,9.032038112496206,9032.038112496206
Austria,2013,,8479823.0,,74940000.0,74940000.0,8.837448611840129,8837.44861184013
Austria,2014,,8546356.0,,68100000.0,68100000.0,7.968308364407005,7968.308364407006
Austria,2015,,8642699.0,,68160000.0,68160000.0,7.886425293765292,7886.425293765292
Austria,2016,,8736668.0,,71580000.0,71580000.0,8.193054835092738,8193.054835092738
Austria,2017,,8797566.0,,69720000.0,69720000.0,7.924919233342495,7924.919233342494
Austria,2018,,8840521.0,,70320000.0,70320000.0,7.954282332455293,7954.282332455293
Austria,2019,,8879920.0,,70380000.0,70380000.0,7.9257470788025115,7925.747078802511
Belgium,1990,,9967379.0,,67440000.0,67440000.0,6.76607160217345,6766.07160217345
Belgium,1991,,10004486.0,,42480000.0,42480000.0,4.246095201692521,4246.095201692521
Belgium,1992,,10045158.0,,41760000.0,41760000.0,4.157226795238064,4157.226795238064
Belgium,1993,,10084475.0,,47340000.0,47340000.0,4.694344524628203,4694.3445246282035
Belgium,1994,,10115603.0,,57480000.0,57480000.0,5.682310782659225,5682.310782659225
Belgium,1995,,10136811.0,,64380000.0,64380000.0,6.351109831287177,6351.109831287177
Belgium,1996,,10156637.0,,62340000.0,62340000.0,6.1378584269576635,6137.858426957663
Belgium,1997,,10181245.0,,53160000.0,53160000.0,5.221365363469792,5221.365363469791
Belgium,1998,,10203008.0,,78540000.0,78540000.0,7.69772992435172,7697.72992435172
Belgium,1999,,10226419.0,,50040000.0,50040000.0,4.893208463294923,4893.208463294923
Belgium,2000,,10251250.0,,67980000.0,67980000.0,6.631386416290696,6631.386416290696
Belgium,2001,,10286570.0,,53040000.0,53040000.0,5.156237696336096,5156.237696336097
Belgium,2002,,10332785.0,,89040000.0,89040000.0,8.61723146276633,8617.23146276633
Belgium,2003,,10376133.0,,94740000.0,94740000.0,9.130569162904909,9130.569162904909
Belgium,2004,,10421137.0,,83760000.0,83760000.0,8.03751068621399,8037.51068621399
Belgium,2005,,10478617.0,,69480000.0,69480000.0,6.630646009869432,6630.646009869432
Belgium,2006,,10547958.0,,92220000.0,92220000.0,8.74292445988124,8742.924459881238
Belgium,2007,,10625700.0,,66180000.0,66180000.0,6.228295547587453,6228.295547587453
Belgium,2008,,10709973.0,,39000000.0,39000000.0,3.6414657627988416,3641.4657627988418
Belgium,2009,,10796493.0,,56040000.0,56040000.0,5.190574383737386,5190.574383737386
Belgium,2010,,10895586.0,,52260000.0,52260000.0,4.796437750112752,4796.437750112753
Belgium,2011,,11038264.0,,56040000.0,56040000.0,5.076885278337246,5076.885278337246
Belgium,2012,,11106932.0,,54900000.0,54900000.0,4.942859108167764,4942.859108167764
Belgium,2013,,11159407.0,,74700000.0,74700000.0,6.693904075727321,6693.9040757273215
Belgium,2014,,11209057.0,,75540000.0,75540000.0,6.739193136407461,6739.193136407461
Belgium,2015,,11274196.0,,64440000.0,64440000.0,5.7157069116059365,5715.7069116059365
Belgium,2016,,11331422.0,,90120000.0,90120000.0,7.953105973813348,7953.105973813348
Belgium,2017,,11375158.0,,78000000.0,78000000.0,6.857047611998005,6857.047611998005
Belgium,2018,,11427054.0,,81900000.0,81900000.0,7.167201625195785,7167.201625195786
Belgium,2019,,11488980.0,,71100000.0,71100000.0,6.1885389303489085,6188.538930348908
Bolivia,1990,Arabica,7130142.0,1500000.0,,1500000.0,0.21037449184041496,210.37449184041495
Bolivia,1991,Arabica,7280289.0,1620000.0,,1620000.0,0.22251863902655514,222.51863902655515
Bolivia,1992,Arabica,7430336.0,1650000.0,,1650000.0,0.22206263619841687,222.06263619841687
Bolivia,1993,Arabica,7579195.0,1710000.0,,1710000.0,0.2256176282573545,225.6176282573545
Bolivia,1994,Arabica,7727322.0,1770000.0,,1770000.0,0.22905736295187387,229.05736295187387
Bolivia,1995,Arabica,7874676.0,1830000.0,,1830000.0,0.2323905135906544,232.3905135906544
Bolivia,1996,Arabica,8021736.0,1890000.0,,1890000.0,0.23560984804286753,235.60984804286753
Bolivia,1997,Arabica,8167900.0,1950000.0,,1950000.0,0.23873945567404106,238.73945567404107
Bolivia,1998,Arabica,8313394.0,1980000.0,,1980000.0,0.23816987382048777,238.16987382048777
Bolivia,1999,Arabica,8459806.0,2040000.0,,2040000.0,0.24114028146744737,241.14028146744738
Bolivia,2000,Arabica,8606326.0,2100000.0,,2100000.0,0.2440065598258769,244.0065598258769
Bolivia,2001,Arabica,8752736.0,2190000.0,,2190000.0,0.2502074779817419,250.20747798174193
Bolivia,2002,Arabica,8900355.0,2250000.0,,2250000.0,0.2527989052122078,252.7989052122078
Bolivia,2003,Arabica,9050700.0,2310000.0,,2310000.0,0.25522887732440586,255.22887732440586
Bolivia,2004,Arabica,9204287.0,2700000.0,,2700000.0,0.29334157007490097,293.34157007490097
Bolivia,2005,Arabica,9360754.0,2460000.0,,2460000.0,0.262799342873448,262.79934287344804
Bolivia,2006,Arabica,9521689.0,2520000.0,,2520000.0,0.26465892763353227,264.65892763353224
Bolivia,2007,Arabica,9685960.0,2610000.0,,2610000.0,0.26946219063469184,269.46219063469186
Bolivia,2008,Arabica,9850858.0,2700000.0,,2700000.0,0.27408780027079876,274.08780027079877
