Entity,Code,Year,"Age-standardized deaths from cardiovascular diseases in both sexes in those aged all ages per 100,000 people","Deaths from cardiovascular diseases per 100,000 people in both sexes aged all ages"
Albania,ALB,1987,331.37842,207.66556
Albania,ALB,1988,333.6215,209.90408
Albania,ALB,1989,339.1301,213.64378
Albania,ALB,1992,289.6585,198.14426
Albania,ALB,1993,264.37045,186.99289
Albania,ALB,1994,236.3284,171.5178
Albania,ALB,1995,290.53366,206.87001
Albania,ALB,1996,314.9575,224.39842
Albania,ALB,1997,281.10385,202.38847
Albania,ALB,1998,314.32132,221.79823
Albania,ALB,1999,288.9499,204.24498
Albania,ALB,2000,349.8244,251.79832
Albania,ALB,2001,277.15262,244.87868
Albania,ALB,2002,298.93408,261.40103
Albania,ALB,2003,328.60852,289.87057
Albania,ALB,2004,312.56067,284.30612
Albania,ALB,2005,294.53677,292.77866
Albania,ALB,2006,281.12512,294.56473
Albania,ALB,2007,239.36775,259.93082
Albania,ALB,2008,279.01453,316.25342
Albania,ALB,2009,264.95486,312.0728
Albania,ALB,2010,184.45703,228.76532
Antigua and Barbuda,ATG,1961,378.4812,194.64285
Antigua and Barbuda,ATG,1962,381.81592,189.65517
Antigua and Barbuda,ATG,1963,401.75586,226.2295
Antigua and Barbuda,ATG,1964,357.03195,203.33333
Antigua and Barbuda,ATG,1966,470.8961,298.33334
Antigua and Barbuda,ATG,1969,318.32715,198.4127
Antigua and Barbuda,ATG,1970,554.5336,260.21783
Antigua and Barbuda,ATG,1971,565.9357,284.35135
Antigua and Barbuda,ATG,1972,597.7632,297.8186
Antigua and Barbuda,ATG,1973,579.50885,259.23016
Antigua and Barbuda,ATG,1974,628.1369,304.1825
Antigua and Barbuda,ATG,1975,587.698,299.9601
Antigua and Barbuda,ATG,1976,617.3869,309.45853
Antigua and Barbuda,ATG,1977,573.5276,318.53793
Antigua and Barbuda,ATG,1978,408.92725,232.12328
Antigua and Barbuda,ATG,1983,269.01956,216.8741
Antigua and Barbuda,ATG,1985,337.97183,265.4323
Antigua and Barbuda,ATG,1986,308.56305,255.85387
Antigua and Barbuda,ATG,1987,334.39246,285.17264
Antigua and Barbuda,ATG,1988,362.64005,304.34995
Antigua and Barbuda,ATG,1989,264.45505,235.45349
Antigua and Barbuda,ATG,1990,302.57874,254.28609
Antigua and Barbuda,ATG,1991,265.8481,225.66951
Antigua and Barbuda,ATG,1992,306.7622,274.54205
Antigua and Barbuda,ATG,1993,298.78052,266.05045
Antigua and Barbuda,ATG,1994,266.757,244.0331
Antigua and Barbuda,ATG,1995,268.94742,230.08592
