Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Unnamed: 69
Aruba,ABW,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9115.97809871118,8662.72298122303,8349.21917203435,8231.03749554157,8344.07246534045,8584.8673104689,8716.97756081752,8650.0710816747,8645.8354210579,8677.76357627295,8741.85808380286,8828.84283980805,8850.68594469374,9090.03846363116,9389.22845647913,9765.26531752969,10171.9357369637,10376.9479301178,10244.594491817,10615.64206328,10686.1255539066,10651.9716804058,10762.1765989417,11016.9232934655,11087.0595817361,11122.5852184215,11208.5430735356,11221.4221790123,11212.6840270749,10883.4985383448,10999.537825195,10957.7965039332,10796.134344513,10876.1962747023,
Afghanistan,AFG,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7550.47738997998,6812.81893930108,8326.90962575288,8519.65611184284,8326.41974829402,8912.15350759228,8973.67419225782,9947.90436160528,10042.2183217768,11636.337095925,12801.0022346215,12273.5134558038,13168.8128218918,13316.9067607027,13059.3295876974,12873.5697247878,12860.513368789,12864.5667033688,13030.5525461584,13569.7731419082,13526.9396374728,10611.84029172,10863.2517874778,10784.0249269723,,
Africa Western and Central,AFW,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8200.82147103324,8145.26848298322,7820.50920659075,7593.60702156404,7536.31996371648,7667.01138718382,7787.22999918069,7848.6731687638,7769.17840812248,7837.97495334957,8015.70701756335,8515.36746636091,8733.06576989381,9166.77013805097,9451.87997288748,9687.65445474287,9939.97567845413,10302.3951309809,10643.1050324631,11100.9166884242,11351.3247334158,11665.7210675226,12031.6657182653,12436.4938467685,12531.8536340507,12244.0000335355,12286.2886051174,12343.6030000655,12448.0385131402,12134.0826243439,12223.4947343394,12203.6645885571,12103.8080238904,12251.1140329608,
Angola,AGO,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20549.7914241979,18800.4664206815,13943.4468471825,13706.2622740619,15182.9118608291,16524.9471783612,17105.0905839401,17342.8450292834,17174.8072116267,17119.7782884389,17231.2808762653,18855.4966271165,18728.7965152455,19992.0923335577,22147.1734268955,23751.1654866437,26056.8248827361,27916.9476547603,27178.7717290183,27369.8288096095,27274.9043360427,28516.0022500817,28890.3836446295,29274.4857795179,28665.4476074031,27078.6580594013,26194.3407776738,25039.8417724709,24065.0208647087,22077.5608687335,20911.1649951745,20737.8081225305,20205.4718059622,20380.9173319278,
Albania,ALB,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10333.4382304053,12206.9131383629,12714.4056416721,13174.5238913412,14099.9101832006,15218.9155089531,13759.6465126979,15677.7443613048,18041.3264452195,19107.7360276169,20899.8819028518,21623.3103903534,22769.1824134206,24048.5420260584,25500.4842036433,27312.7947108902,29681.3364987827,31195.1761885856,31078.9621201533,31851.1365300619,29635.7114198363,31236.3071857654,35410.0391851343,36363.667776449,35341.3052808585,34702.0717800893,34539.1859998914,34502.650584685,34333.9927495494,34840.724259525,37448.4227294642,38073.1688543111,39921.3792455211,41779.25160442,
Andorra,AND,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47308.3718398902,48740.3622114923,48873.0378742357,48378.5080526979,48751.2829390429,49242.0995968258,50220.1029026729,51577.2961548635,51187.8914374475,53306.1067472924,53382.3133321127,53127.9814222658,53016.6691180873,55120.2199446702,55928.8395704557,56638.2491740132,56749.1126765021,58047.1948210498,56703.3753320974,57619.6889103243,59395.1961388592,60664.856519884,60231.4727452951,60427.6419790812,61386.7988126992,62053.8355862763,63228.0296598958,64347.7904337014,64526.0237898935,62896.85254519,63741.0591361296,65115.4611429081,69140.2259383981,71780.4325349308,
United Arab Emirates,ARE,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197276.395671329,190877.89805214,181247.928504109,182163.413957245,183043.137506151,180031.483986428,179141.306738613,165396.442603568,156853.779160091,160502.876344272,150722.162920298,143386.291005004,145511.040510858,149058.938227242,146743.045086635,148329.362774825,135729.009595269,125047.895221987,112155.544213419,111053.347446951,113406.739093396,110415.397221276,110852.896002598,109628.547089914,110228.656344926,109939.280824966,107709.740608957,106890.599741932,106486.31957749,104590.55199469,108126.054364633,109902.764920291,108156.446265956,107503.500508308,
Argentina,ARG,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46288.9540312011,48984.9189201794,53587.0014024061,56342.6298445891,58998.3741851723,59538.0322209008,60883.4696143417,60428.0871112247,58986.2199330374,58552.4159474895,57363.1163045418,53152.2756157438,53402.4384761842,55372.0006494235,58492.0948828661,61047.783669524,65213.8451434454,67241.6105325519,62578.8318819811,67965.7783189913,70154.7796410961,68915.6772805938,70098.6605034767,68224.4053940086,69722.7053276355,68102.8907306326,69702.6851895696,66889.2867265136,64545.6690918665,63088.8422580423,62199.2099349718,62416.5815974919,59585.9258245395,59087.9897702683,
Armenia,ARM,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11908.112787173,7099.56881039842,7072.09013097964,7854.16776118179,8604.55217177862,9467.06794265119,10043.4401889824,10620.8453271906,11112.3695011738,11330.7499422125,12259.8409806927,13790.4575573424,15686.6423933916,17303.5021540226,19660.2120489124,22180.7992491937,25126.7995956925,29090.7783957382,25419.9586847631,26142.3880404,27288.7725466652,28845.9649573836,29504.902714031,31026.6323684538,32449.1308572475,32408.9146526656,35095.1395456381,37635.9026327937,39420.3930711592,36899.5814189147,37305.9496348586,41420.382813411,44812.6637153155,46539.4678852902,
American Samoa,ASM,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79713.0862569251,80447.9840502596,83541.4898750771,84183.2118268659,84373.1152496156,86492.4826506767,89139.3303629633,91690.0563983838,94573.8589306223,95782.395928418,96478.75038367,98438.1646425831,99263.9460575286,101744.553902976,101549.82824549,101916.688251226,102552.399276575,103342.911269142,104531.983861842,104696.512034865,105424.051447241,108213.896370182,109995.547499675,112058.742415705,112330.181531181,113420.627221093,113385.24715523,113636.799610303,113575.689077041,115044.553351073,113949.871514187,114051.350259513,114652.221028201,114266.93526742,
Austria,AUT,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99338.2366118732,99120.53814453,99186.8372016284,97906.0556572779,100866.658689511,104745.252579238,107087.999000668,110269.354421248,112689.978295906,116016.360463697,117028.405591315,117319.955145478,117661.32173449,123436.656687446,123838.792025198,125323.303941676,126805.642707357,126412.28029492,122192.525858311,123275.31695062,125804.673770283,125523.747986916,124587.14703603,125243.869039538,125528.144313343,126264.898449052,127693.45136021,128853.114267162,130057.013356892,123194.091206578,129644.817221157,132529.570677137,130342.728605196,128886.525966365,
Azerbaijan,AZE,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22455.9869869167,16877.7071324501,12766.7436325592,10009.4865709308,8624.67210239558,8684.96681991773,9183.33597088136,10105.5460210452,10803.0167786101,11984.9490297125,13113.3990418311,14287.217613574,15661.6881532704,17147.9696999561,21763.4169578273,29224.5114363421,37588.1465447268,40838.7840710304,43290.4507800052,44653.7031635631,42973.5694262636,43015.9290523116,44838.5150195325,45113.7596820929,44736.2429007156,42334.6643457947,41818.211805373,41719.5305771609,42436.7472622451,40037.0853084327,44799.8754897277,45144.2954379954,45771.308251487,47519.4410128037,
Burundi,BDI,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3242.82769425455,3204.50086372109,3257.02587291837,3148.12962259356,2642.28360049396,2477.45316730437,2481.41142311144,2551.5926809378,2454.64237095535,2385.07667749218,2373.41743857923,2411.2955697132,2309.09858044,2333.42822237788,2277.97661959318,2337.66226337167,2299.9052086085,2282.00844135049,2235.23956162463,2237.0455927523,2253.07135457993,2280.33464971996,2318.60643296763,2348.09094863168,2213.18697015996,2175.5956664066,2138.27312823719,2099.62138445228,2058.1562618181,2022.37146335454,1999.13154786218,1957.75694381784,1939.72207089533,1939.71520646709,
Belgium,BEL,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112858.970779121,113036.980587994,112918.656831507,116699.839644259,118177.870578188,119631.283217475,122794.183180268,124712.325899939,125029.397351926,125536.580338186,129436.791088909,131146.184858386,132476.501610945,133985.544940771,134461.658403811,137011.133353527,138230.588302023,136854.591575714,134976.882388768,136380.987722541,137775.943621245,137741.41825466,138100.790798817,140195.740938546,141912.558464579,142399.068392291,142316.594648262,141641.947151766,142738.479435885,136728.479852615,143705.694905106,145858.184152955,146265.207137042,146382.27689616,
Benin,BEN,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5837.15709816233,5819.23515212921,5842.06481771583,5723.88012679611,5977.72313348165,6084.47151633567,6231.94770222454,6267.09822879013,6380.24996920549,6527.36063193077,6644.44578741943,6721.68135988294,6725.92816837663,6794.66253450318,6672.6045425755,6707.14369508323,6892.97366452184,6999.38707216322,6930.86187755353,6851.41688441011,6942.29266405707,6992.15414179002,7202.06450256072,7367.35453340214,7225.48786818517,7198.70145755925,7328.75510598431,7524.79578222756,7742.91718776449,7853.61844971084,8058.24598292819,8320.9122730772,8606.28107301438,8974.80630516418,
Burkina Faso,BFA,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2721.3541361225,2689.09759356297,2735.8056867855,2727.83256843685,2830.1838164635,3083.44380909347,3218.21047918276,3381.70421853891,3549.71334570338,3533.82879774206,3676.73829701143,3745.92240565369,3937.62076427052,4046.30235749422,4321.57314782112,4481.82461813139,4561.53232899681,4757.52308449886,4834.03024821969,5163.08605106404,5424.7569062536,5680.53462097924,5923.45259062703,6091.99709907301,6367.68479612494,6785.45516445784,7252.34551031889,7794.75086929913,8336.47379662973,8696.35876831692,9340.84417934237,9631.16002902667,9603.84716280916,9792.08991798034,
Bangladesh,BGD,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6553.02170709563,6709.07951994688,6823.62051311602,6880.40152331004,7016.17097689939,7112.50917814253,7216.89997665912,7376.28941656542,7508.54177101283,7699.06789208721,7925.96761719877,8095.90710989586,8352.89324895928,8634.91503236483,9037.78920200797,9423.83857718543,9955.61548433281,10428.5549502335,10830.3392261586,11052.6727957211,11714.3089003566,12398.762504854,13059.1819300564,13686.2163029019,14411.3748460929,15254.5907780982,15398.4454288001,16150.5698026795,17050.8453071746,17521.21818587,18112.0203623171,18760.0240013094,19505.0488984303,19976.5906900261,
Bulgaria,BGR,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36318.4132212464,35551.1375843548,35955.8098008336,35341.5927253944,35927.1964333492,38724.8142138677,33951.0914563404,34971.9867687476,32927.7914644913,35586.8095932201,38065.1778694487,40461.480192245,41194.1022428028,42530.5687259849,45411.7629213173,46401.7730507368,47291.8235512858,48652.1132351093,48640.9114456318,52272.895162929,55324.0503574156,56069.9839370875,56602.4777444506,56905.6614706085,57905.1391731548,60495.3395783969,59793.8143803773,61732.0171929502,62978.7559311305,63098.4655378277,69142.1982485989,69956.9108348286,71297.8722924712,73322.5363148879,
Bahrain,BHR,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109283.590174269,113003.810853325,123702.662206805,119759.792886562,120589.248434544,121615.055774671,121016.767603046,122245.578999316,122763.071131497,124295.835475697,121064.256039992,114395.777723755,110789.225180128,107739.52983188,104415.74948069,100733.499918445,98606.9835789176,96501.9751452006,90665.4447434499,89780.576759568,94885.2830739072,96197.8485402904,97608.5048525327,98238.7685544535,96581.2791599594,95207.2941174683,93955.4241513126,96116.7193388621,100456.32918312,98292.8942111847,99917.8036765227,102403.91389536,101877.666726469,103996.479359634,
"Bahamas, The",BHS,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68815.3973787974,66468.9352191178,63472.418904295,64765.4919935361,64118.0678400315,66105.5664025457,64635.4099965922,65014.1258478468,68301.8846912331,69708.4042334797,70228.1003169187,72723.3925405935,72150.967188335,71085.2572314141,72251.8737641428,70670.2996721417,70562.3847526818,67920.1594016502,68607.4353615343,68601.1860632114,67968.7026252604,69534.5423346568,68428.1149701021,66857.2613113074,65323.9047967017,64357.2284042211,63598.5412146537,64473.2622565555,62838.7390832151,54598.0373012101,61600.502702754,64672.8321607513,65402.2098923666,67010.2952771953,
Bosnia and Herz.,BIH,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6410.57501852141,6484.87935104093,7144.47028290063,8565.40636215603,10055.7384765602,14748.1762146345,19311.4566221893,22164.2293936755,24099.2811946869,25255.1747795854,25870.3369506766,27261.184719537,28636.6341115146,30937.1297407979,32807.6390258178,35142.1013092368,36379.6476049166,36043.5583321105,35917.4390249791,38544.5938668426,39813.2920027985,40559.6435531876,41893.7523864477,43013.373789136,45615.7549427297,46353.086442113,45618.7196703089,46869.5138061305,47501.3842101342,47235.6374801631,50878.9203887851,52224.6599067065,51683.2286131451,53407.4598063515,
Belarus,BLR,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26906.1667665639,24855.5922846146,24234.1791365903,22358.2441805138,21132.3325981491,23675.7762213823,24134.2148487059,25140.9011115005,25452.313815786,26399.3979377777,27142.876475311,28081.3171029777,29680.3043199029,32690.9414247619,35396.3783192463,38536.2840884102,41414.842058346,45059.9666695138,44589.1828896175,47784.0249511615,50257.6935065233,51018.6294359581,51506.815333716,52333.6223026358,50325.9016206011,49080.5281170742,50347.8607756314,51712.5125351445,52435.8402895545,52471.3993087717,54136.8684642268,51767.1980911894,54386.7983317778,56968.0078728286,
